Producer,Appellation,Cuvée / Wine,Region,Colour,Vintage,Format,Qty,Price/bottle,Price basis,Packaging / note
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,NV,Case,1,51750.0,ex-VAT,1 RC 04 /  1 T 05 & 08 /  1 RSV 05 & 08 /  1 E 05 /  1 & 13 /  2 VR Duvault Blochet 20
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2023,Case,1,40250.0,ex-VAT,1RC/1T/1R/2RSV/1E/1C/1VRDuvault Blochet
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2022,Case,1,16905.0,ex-VAT,2 T 1 COR  1 COR CHAR
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2022,Case,1,50600.0,ex-VAT,1 X RC / 1 X MT / 1X LT/ 1 X RI / 1 X RSV / 1 X GE / 1 X E / 1 X CT
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2021,Case,1,22172.0,ex-VAT,1T/2RSV/1R/1GE/1E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2021,Case,1,42550.0,ex-VAT,1X RC / 1X LT / 1X RI / 1X RSV / 1 X GE / 2 X E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2020,Case,1,26450.0,ex-VAT,1CC/1T/1RSV/1E/1Corton/1Duvault Blochet
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2020,Case,1,38525.0,ex-VAT,2X CC / 1X RSV /2X E / 1 X GE / 1X CT / 3 Vosne Romanée Duvault Blochet
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2020,Case,1,70725.0,ex-VAT,1X RC / 2 X LT / 1X RI / 2 X RSV / 1X GE / 2 X E / 1 X MT / 1 X CT / 1 X Corton Charlemagne
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2020,Case,1,120750.0,ex-VAT,1X RC / 3X CC / 2X LT / 1X RI / 2 X RSV / 2X E / 2 X GE / 2X CT / 3 Vosne Romanée Duvault Blochet
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2019,Case,1,23000.0,ex-VAT,3RSV / 3E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2019,Case,1,23000.0,ex-VAT,3C / 3RSV
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2019,Case,1,37950.0,ex-VAT,1 X MT / 1 X GE/ 2 X E / 4 X Vosne romanée Duvault Blochet / 2 X Corton
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2019,Case,1,54050.0,ex-VAT,1 X RC / 2 X LT / 1 X RI / 2 X RSV / 1 X G E / 1 X E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2019,Case,1,64400.0,ex-VAT,1RC /  2T /  2RSV /  1R /  1GE /  1E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2019,Case,1,102925.0,ex-VAT,1RC / 2TA / 1RI / 1RSV / 3GE / 2E / 2CC n° consécutifs et CE FR
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2019,Case,1,126500.0,ex-VAT,1X2016 /1X2017 /1X2018 /1X / 1X2020 /1X2021
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2018,Case,1,27084.8,ex-VAT,2T1Rb1RSV2GE1E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2018,Case,1,30935.0,ex-VAT,1LT 4PM 1C
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2017,Case,1,25645.0,ex-VAT,1X MT / 1X LT / 1X RI /1X E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2017,Case,1,82110.0,ex-VAT,1X RC / 1XMT / 3X LT / 2X RI / 3X RSV / 2X E / 2X GE/ 1X CT
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2015,Case,1,84870.0,ex-VAT,1 X RC / 1 X MT / 2 X LT / 2 X RI / 3 X RSV / 2X G E / 2 X E / 1 X CT
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2013,Case,1,41975.0,ex-VAT,1 X RC / 1 X LT / 1X RI / 1 X RSV / 1 X G E / 1 X E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2012,Case,1,60375.0,ex-VAT,1RC /  3T /  2Ri /  2 RSV /  2GE /  2E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2012,Case,1,77050.0,ex-VAT,1RC / 3T / 3R / 3RSV / 2GE / 3E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2011,Case,1,33350.0,ex-VAT,1RC /  3RI /  2C
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2011,Case,1,47725.0,ex-VAT,1R /  3T /  2R /  2RSV / 2GE / 2E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2011,Case,1,66839.15,ex-VAT,1RC3T2Rb2RSV2GE2E1C
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2010,Case,1,19550.0,ex-VAT,3 X LT
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2010,Case,1,21505.0,ex-VAT,2 X RSV / 2 X GE / 2 X E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2010,Case,1,33062.5,ex-VAT,1RC / 2TA n° consécutifs et CE BELGE
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2010,Case,1,35650.0,ex-VAT,1X RC / 1X LT / 1X RSV / 1X E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2010,Case,1,54970.0,ex-VAT,1 X RC / 2 X LT / 1X RI / 2 X G E / 2 X E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2010,Case,1,75900.0,ex-VAT,1 RC / 3 LT / 2 R / 3 RSV / 2 GE / 3 E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2009,Case,1,43700.0,ex-VAT,1xRC / 1xMON / 2xTAC / 2xGE
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2009,Case,1,58650.0,ex-VAT,1X RC / 3X LT / 2X RI /2X RSV
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2009,Case,1,72600.65,ex-VAT,1RC3T2Rb2RSV2GE2E1C
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2007,Case,1,20240.0,ex-VAT,2X RI / 2X E / 2X G E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2006,Case,1,38031.65,ex-VAT,1RC /1T /1Rb / 1RSV / 1GE / 1E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2005,Case,1,80270.0,ex-VAT,1X RC / 1 X LT / 1 X MT /2 X RI / 2 X RSV /1 X GE / 2X E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2004,Case,1,24088.82,ex-VAT,2T2Rb1GE1E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2003,Case,1,91885.0,ex-VAT,1X RC / 1X MT / 3 X LT / 3X RI / 3X RSV / 2 X G E / 2X E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2002,Case,1,75900.0,ex-VAT,1RC /  3T /  2R /  2RSV /  2GE /  3E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,2000,Case,1,69000.0,ex-VAT,1RC /  3T /  2R /  2RSV /  2GE /  2E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,1999,Case,1,105800.0,ex-VAT,1RC /  3T /  2R /  2RSV /  2GE /  2E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Assortment Case,Burgundy,Red,1995,Case,1,74905.25,ex-VAT,1RC3T2Rb2RSV2GE2E
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2023,Case,1,2645.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2022,Case,1,2185.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2022,Case,1,2467.9,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2022,Case,1,2472.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2021,Case,1,2875.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2020,Case,1,2530.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2020,Case,1,2875.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2019,Case,1,2667.31,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2019,Case,2,2875.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2018,Case,1,2127.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2018,Case,3,2303.6800000000003,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2018,Case,1,2760.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2018,Case,1,2990.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2017,Case,1,2645.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2016,Case,1,2702.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2016,Case,2,3220.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2014,Case,1,2070.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2014,Case,1,2139.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2013,Case,1,2761.15,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2011,Case,1,2530.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2009,Case,1,2759.7470000000003,ex-VAT,Très Légèrement Abimée
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton Grand Cru Prince Florent de Merode,Burgundy,Red,2009,Case,1,3565.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton-Charlemagne Grand Cru,Burgundy,Red,2022,Case,1,4485.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton-Charlemagne Grand Cru,Burgundy,Red,2022,Case,1,4567.57,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton-Charlemagne Grand Cru,Burgundy,Red,2021,Case,2,4887.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton-Charlemagne Grand Cru,Burgundy,Red,2021,Case,1,6785.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton-Charlemagne Grand Cru,Burgundy,Red,2020,Case,6,4931.2,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton-Charlemagne Grand Cru,Burgundy,Red,2020,Case,6,5175.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Corton-Charlemagne Grand Cru,Burgundy,Red,2019,Case,1,5164.6269999999995,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2023,Case,2,2760.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2022,Case,1,2294.25,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2022,Case,2,2538.2799999999997,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2021,Case,1,2702.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2021,Case,1,2760.0,ex-VAT,Contre Belge
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2020,Case,2,2990.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2020,Case,6,3093.5,ex-VAT,Cerclée
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2019,Case,3,2875.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2019,Case,4,2886.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2019,Case,3,2937.1,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2019,Case,7,2990.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2018,Case,3,2530.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2018,Case,1,2760.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2018,Case,4,2828.885,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2018,Case,6,2854.99,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2017,Case,3,2761.15,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2017,Case,9,2875.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2017,Case,1,2978.6839999999997,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2016,Case,1,7475.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2016,Case,1,8450.2,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2015,Case,1,2760.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2015,Case,1,2819.8,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2015,Case,1,2886.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2015,Case,2,3450.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2014,Case,1,2622.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2014,Case,1,2645.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2014,Case,1,2645.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2014,Case,1,2702.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2013,Case,1,2760.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2013,Case,3,3057.85,ex-VAT,Mise à dispo fin juin
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2013,Case,1,3220.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2012,Case,1,2587.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2012,Case,3,3059.3450000000003,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2011,Case,4,2875.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2011,Case,2,2886.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2010,Case,1,2990.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2010,Case,2,3047.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2009,Case,3,2913.64,ex-VAT,PARFAIT
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2009,Case,6,3101.55,ex-VAT,Mise à dispo fin juin
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2009,Case,2,3116.96,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2009,Case,4,3220.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2008,Case,2,2530.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2008,Case,1,2622.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2007,Case,1,2622.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2007,Case,1,2702.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2007,Case,1,2760.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2007,Case,2,2760.0,ex-VAT,num consécutifs
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2006,Case,1,2645.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2006,Case,1,2702.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2006,Case,3,2875.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2005,Case,1,2875.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2005,Case,1,3230.35,ex-VAT,PARFAIT
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2005,Case,5,3565.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2004,Case,6,3116.96,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2003,Case,1,2760.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2003,Case,1,2760.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2003,Case,1,2932.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2003,Case,1,2935.927,ex-VAT,PARFAIT
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2002,Case,1,2788.75,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2002,Case,1,2875.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2002,Case,2,3174.575,ex-VAT,Légèrement Abimée
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2002,Case,2,3852.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,2000,Case,2,3174.575,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,1999,Case,1,3347.42,ex-VAT,Très Légèrement Abimée
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,1997,Case,1,2944.115,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,1996,Case,1,3232.19,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,1995,Case,3,2587.5,ex-VAT,CE suisse
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,1990,Case,1,3923.57,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,1989,Case,1,2587.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,1989,Case,1,2713.6549999999997,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,1989,Case,1,3105.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,1989,Case,1,15525.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Echezeaux Grand Cru,Burgundy,Red,1986,Case,1,1725.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2022,Case,3,2415.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2022,Case,1,2632.1200000000003,ex-VAT,PARFAIT
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2022,Case,1,2760.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2021,Case,1,2645.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2021,Case,1,2645.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2021,Case,4,2828.885,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2020,Case,1,2754.25,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2020,Case,2,2817.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2020,Case,5,2875.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2018,Case,2,2817.5,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2018,Case,1,2875.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2018,Case,2,2878.45,ex-VAT,PARFAIT
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2017,Case,1,2944.115,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2017,Case,2,2995.75,ex-VAT,PARFAIT
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2017,Case,3,3103.85,ex-VAT,Mise à dispo fin juin
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2017,Case,5,3220.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2015,Case,1,2990.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2015,Case,3,3478.75,ex-VAT,Mise à dispo fin juin
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2014,Case,2,3335.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2014,Case,1,9746.25,ex-VAT,Martel back label
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2013,Case,2,3335.0,ex-VAT,
Domaine de la Romanée-Conti,,Domaine de la Romanee-Conti Grands Echezeaux Grand Cru,Burgundy,Red,2012,Case,1,2702.5,ex-VAT,
